Season,Squad,Comp,League Rank,MP,Win,Draw,Loss,GF,GA,GD,Pts,Box
2022-2023,Chelsea FC,Premier League,12,38,11,11,16,38,47,-9,44,1
2021-2022,Chelsea FC,Premier League,3,38,21,11,6,76,33,43,74,2
2020-2021,Chelsea FC,Premier League,4,38,19,10,9,58,36,22,67,3
2019-2020,Chelsea FC,Premier League,4,38,20,6,12,69,54,15,66,4
2018-2019,Chelsea FC,Premier League,3,38,21,9,8,63,39,24,72,5
2017-2018,Chelsea FC,Premier League,5,38,21,7,10,62,38,24,70,6
2016-2017,Chelsea FC,Premier League,1,38,30,3,5,85,33,52,93,7
2015-2016,Chelsea FC,Premier League,10,38,12,14,12,59,53,6,50,8
2014-2015,Chelsea FC,Premier League,1,38,26,9,3,73,32,41,87,9
2013-2014,Chelsea FC,Premier League,3,38,25,7,6,71,27,44,82,1
2012-2013,Chelsea FC,Premier League,3,38,22,9,7,75,39,36,75,2
2011-2012,Chelsea FC,Premier League,6,38,18,10,10,65,46,19,64,3
2010-2011,Chelsea FC,Premier League,2,38,21,8,9,69,33,36,71,4
2009-2010,Chelsea FC,Premier League,1,38,17,5,16,103,32,71,56,5
2008-2009,Chelsea FC,Premier League,3,38,25,8,5,68,24,44,83,6
2007-2008,Chelsea FC,Premier League,2,38,25,10,3,65,26,39,85,7
2006-2007,Chelsea FC,Premier League,2,38,24,11,3,64,24,40,83,8
2005-2006,Chelsea FC,Premier League,1,38,29,4,5,72,22,50,91,9
2004-2005,Chelsea FC,Premier League,1,38,29,8,1,72,15,57,95,1
2003-2004,Chelsea FC,Premier League,2,38,24,7,7,67,30,37,79,2
2002-2003,Chelsea FC,Premier League,4,38,19,10,9,68,38,30,67,3
2001-2002,Chelsea FC,Premier League,6,38,17,13,8,66,38,28,64,4
2000-2001,Chelsea FC,Premier League,6,38,17,10,11,68,45,23,61,5
1999-2000,Chelsea FC,Premier League,5,38,18,11,9,53,34,19,65,6
1998-1999,Chelsea FC,Premier League,3,38,20,15,3,57,30,27,75,7
1997-1998,Chelsea FC,Premier League,4,38,20,3,15,71,43,28,63,8
1996-1997,Chelsea FC,Premier League,6,38,16,11,11,58,55,3,59,9
1995-1996,Chelsea FC,Premier League,11,38,12,14,12,46,44,2,50,1
1994-1995,Chelsea FC,Premier League,11,42,13,15,14,50,55,-5,54,2
1993-1994,Chelsea FC,Premier League,14,42,13,12,17,49,53,-4,51,3
1992-1993,Chelsea FC,Premier League,11,42,14,14,14,51,54,-3,56,4